Item 1: Label=NEGATIVE, Score=0.9047
Item 608: Label=POSITIVE, Score=0.8966
Item 609: Label=POSITIVE, Score=0.9005
Item 610: Label=POSITIVE, Score=0.8937
Item 611: Label=POSITIVE, Score=0.8495
Item 612: Label=POSITIVE, Score=0.8026
Item 613: Label=POSITIVE, Score=0.8550
Item 614: Label=POSITIVE, Score=0.8435
Item 615: Label=POSITIVE, Score=0.8326
Item 616: Label=POSITIVE, Score=0.8686
Item 617: Label=POSITIVE, Score=0.7889
Item 618: Label=POSITIVE, Score=0.8066
Item 619: Label=POSITIVE, Score=0.8016
Item 620: Label=POSITIVE, Score=0.7964
Item 621: Label=POSITIVE, Score=0.9882
Item 622: Label=POSITIVE, Score=0.9290
Item 623: Label=POSITIVE, Score=0.9394
Item 624: Label=POSITIVE, Score=0.9319
Item 625: Label=POSITIVE, Score=0.9262
Item 626: Label=POSITIVE, Score=0.9912
Item 627: Label=POSITIVE, Score=0.9232
Item 628: Label=POSITIVE, Score=0.9182
Item 629: Label=POSITIVE, Score=0.9250
Item 630: Label=POSITIVE, Score=0.9159
Item 631: Label=POSITIVE, Score=0.9880
Item 632: Label=POSITIVE, Score=0.9141
Item 633: Label=POSITIVE, Score=0.9355
Item 634: Label=POSITIVE, Score=0.9323
Item 635: Label=POSITIVE, Score=0.9077
Item 636: Label=POSITIVE, Score=0.9365
Item 637: Label=POSITIVE, Score=0.8878
Item 638: Label=POSITIVE, Score=0.8943
Item 639: Label=POSITIVE, Score=0.9121
Item 640: Label=POSITIVE, Score=0.9161
Item 641: Label=POSITIVE, Score=0.9943
Item 642: Label=POSITIVE, Score=0.8334
Item 643: Label=POSITIVE, Score=0.8822
Item 644: Label=POSITIVE, Score=0.8659
Item 645: Label=POSITIVE, Score=0.8474
Item 646: Label=POSITIVE, Score=0.8828
Item 647: Label=POSITIVE, Score=0.8418
Item 648: Label=POSITIVE, Score=0.8180
Item 649: Label=POSITIVE, Score=0.8582
Item 650: Label=POSITIVE, Score=0.8745
Item 651: Label=POSITIVE, Score=0.9932
Item 652: Label=POSITIVE, Score=0.7749
Item 653: Label=POSITIVE, Score=0.8189
Item 654: Label=POSITIVE, Score=0.7729
Item 655: Label=POSITIVE, Score=0.7882
Item 656: Label=POSITIVE, Score=0.7984
Item 657: Label=POSITIVE, Score=0.6479
Item 658: Label=POSITIVE, Score=0.6561
Item 659: Label=POSITIVE, Score=0.7950
Item 660: Label=POSITIVE, Score=0.8146
Item 661: Label=POSITIVE, Score=0.9763
Item 662: Label=POSITIVE, Score=0.9356
Item 663: Label=POSITIVE, Score=0.9351
Item 664: Label=POSITIVE, Score=0.9359
Item 665: Label=POSITIVE, Score=0.9245
Item 666: Label=POSITIVE, Score=0.9375
Item 667: Label=POSITIVE, Score=0.9098
Item 668: Label=POSITIVE, Score=0.9153
Item 669: Label=POSITIVE, Score=0.9257
Item 670: Label=POSITIVE, Score=0.9264
Item 671: Label=POSITIVE, Score=0.9912
Item 672: Label=POSITIVE, Score=0.9457
Item 673: Label=POSITIVE, Score=0.9529
Item 674: Label=POSITIVE, Score=0.9557
Item 675: Label=POSITIVE, Score=0.9417
Item 676: Label=POSITIVE, Score=0.9544
Item 677: Label=POSITIVE, Score=0.9296
Item 678: Label=POSITIVE, Score=0.9390
Item 679: Label=POSITIVE, Score=0.9436
Item 680: Label=POSITIVE, Score=0.9418
Item 681: Label=POSITIVE, Score=0.9927
Item 682: Label=POSITIVE, Score=0.9407
Item 683: Label=POSITIVE, Score=0.9369
Item 684: Label=POSITIVE, Score=0.9397
Item 685: Label=POSITIVE, Score=0.9217
Item 686: Label=POSITIVE, Score=0.9401
Item 687: Label=POSITIVE, Score=0.9229
Item 688: Label=POSITIVE, Score=0.9137
Item 689: Label=POSITIVE, Score=0.9203
Item 690: Label=POSITIVE, Score=0.9185
Item 691: Label=POSITIVE, Score=0.9726
Item 692: Label=POSITIVE, Score=0.8513
Item 693: Label=POSITIVE, Score=0.8894
Item 694: Label=POSITIVE, Score=0.8876
Item 695: Label=POSITIVE, Score=0.8715
Item 696: Label=POSITIVE, Score=0.8930
Item 697: Label=POSITIVE, Score=0.8351
Item 698: Label=POSITIVE, Score=0.8319
Item 699: Label=POSITIVE, Score=0.8572
Item 700: Label=POSITIVE, Score=0.8572
Item 701: Label=POSITIVE, Score=0.9905
Item 702: Label=POSITIVE, Score=0.9150
Item 703: Label=POSITIVE, Score=0.9211
Item 704: Label=POSITIVE, Score=0.9260
Item 705: Label=POSITIVE, Score=0.9068
Item 706: Label=POSITIVE, Score=0.9359
Item 707: Label=POSITIVE, Score=0.8826
Item 708: Label=POSITIVE, Score=0.8948
Item 709: Label=POSITIVE, Score=0.9008
Item 710: Label=POSITIVE, Score=0.8937
Item 711: Label=POSITIVE, Score=0.6119
Item 712: Label=POSITIVE, Score=0.9386
Item 713: Label=POSITIVE, Score=0.9418
Item 714: Label=POSITIVE, Score=0.9364
Item 715: Label=POSITIVE, Score=0.9119
Item 716: Label=POSITIVE, Score=0.9371
Item 717: Label=POSITIVE, Score=0.8947
Item 718: Label=POSITIVE, Score=0.9067
Item 719: Label=POSITIVE, Score=0.9089
Item 720: Label=POSITIVE, Score=0.9120
Item 721: Label=POSITIVE, Score=0.9857
Item 722: Label=POSITIVE, Score=0.9566
Item 723: Label=POSITIVE, Score=0.9482
Item 724: Label=POSITIVE, Score=0.9464
Item 725: Label=POSITIVE, Score=0.9334
Item 726: Label=POSITIVE, Score=0.9546
Item 727: Label=POSITIVE, Score=0.9288
Item 728: Label=POSITIVE, Score=0.9385
Item 729: Label=POSITIVE, Score=0.9334
Item 730: Label=POSITIVE, Score=0.9388
Item 731: Label=POSITIVE, Score=0.9787
Item 732: Label=POSITIVE, Score=0.9651
Item 733: Label=POSITIVE, Score=0.9615
Item 734: Label=POSITIVE, Score=0.9589
Item 735: Label=POSITIVE, Score=0.9462
Item 736: Label=POSITIVE, Score=0.9582
Item 737: Label=POSITIVE, Score=0.9432
Item 738: Label=POSITIVE, Score=0.9898
Item 739: Label=POSITIVE, Score=0.9525
Item 740: Label=POSITIVE, Score=0.9523
Item 741: Label=POSITIVE, Score=0.9887
Item 742: Label=POSITIVE, Score=0.9660
Item 743: Label=POSITIVE, Score=0.9614
Item 744: Label=POSITIVE, Score=0.9586
Item 745: Label=POSITIVE, Score=0.9516
Item 746: Label=POSITIVE, Score=0.9608
Item 747: Label=POSITIVE, Score=0.9414
Item 748: Label=POSITIVE, Score=0.9688
Item 749: Label=POSITIVE, Score=0.9468
Item 750: Label=POSITIVE, Score=0.9529
Item 751: Label=POSITIVE, Score=0.9957
Item 752: Label=POSITIVE, Score=0.9792
Item 753: Label=POSITIVE, Score=0.9819
Item 754: Label=POSITIVE, Score=0.9813
Item 755: Label=POSITIVE, Score=0.9735
Item 756: Label=POSITIVE, Score=0.9827
Item 757: Label=POSITIVE, Score=0.9689
Item 758: Label=POSITIVE, Score=0.9747
Item 759: Label=POSITIVE, Score=0.9745
Item 760: Label=POSITIVE, Score=0.9747
Item 761: Label=POSITIVE, Score=0.9932
Item 762: Label=POSITIVE, Score=0.9799
Item 763: Label=POSITIVE, Score=0.9802
Item 764: Label=POSITIVE, Score=0.9783
Item 765: Label=POSITIVE, Score=0.9697
Item 766: Label=POSITIVE, Score=0.9785
Item 767: Label=POSITIVE, Score=0.9708
Item 768: Label=POSITIVE, Score=0.9703
Item 769: Label=POSITIVE, Score=0.9673
Item 770: Label=POSITIVE, Score=0.9695
Item 771: Label=POSITIVE, Score=0.9880
Item 772: Label=POSITIVE, Score=0.9689
Item 773: Label=POSITIVE, Score=0.9636
Item 774: Label=POSITIVE, Score=0.9676
Item 775: Label=POSITIVE, Score=0.9557
Item 776: Label=POSITIVE, Score=0.9655
Item 777: Label=POSITIVE, Score=0.9568
Item 778: Label=POSITIVE, Score=0.9659
Item 779: Label=POSITIVE, Score=0.9618
Item 780: Label=POSITIVE, Score=0.9616
Item 781: Label=POSITIVE, Score=0.9760
Item 782: Label=POSITIVE, Score=0.9777
Item 783: Label=POSITIVE, Score=0.9719
Item 784: Label=POSITIVE, Score=0.9723
Item 785: Label=POSITIVE, Score=0.9653
Item 786: Label=POSITIVE, Score=0.9716
Item 787: Label=POSITIVE, Score=0.9588
Item 788: Label=POSITIVE, Score=0.9638
Item 789: Label=POSITIVE, Score=0.9567
Item 790: Label=POSITIVE, Score=0.9562
Item 791: Label=POSITIVE, Score=0.9819
Item 792: Label=POSITIVE, Score=0.9734
Item 793: Label=POSITIVE, Score=0.9684
Item 794: Label=POSITIVE, Score=0.9699
Item 795: Label=POSITIVE, Score=0.9618
Item 796: Label=POSITIVE, Score=0.9636
Item 797: Label=POSITIVE, Score=0.9493
Item 798: Label=POSITIVE, Score=0.9573
Item 799: Label=POSITIVE, Score=0.9534
Item 800: Label=POSITIVE, Score=0.9588
Item 801: Label=POSITIVE, Score=0.9949
Item 802: Label=POSITIVE, Score=0.9736
Item 803: Label=POSITIVE, Score=0.9948
Item 804: Label=POSITIVE, Score=0.9716
Item 805: Label=POSITIVE, Score=0.9640
Item 806: Label=POSITIVE, Score=0.9717
Item 807: Label=POSITIVE, Score=0.9586
Item 808: Label=POSITIVE, Score=0.9642
Item 809: Label=POSITIVE, Score=0.9699
Item 810: Label=POSITIVE, Score=0.9643
Item 811: Label=POSITIVE, Score=0.9737
Item 812: Label=POSITIVE, Score=0.9585
Item 813: Label=POSITIVE, Score=0.9579
Item 814: Label=POSITIVE, Score=0.9567
Item 815: Label=POSITIVE, Score=0.9352
Item 816: Label=POSITIVE, Score=0.9493
Item 817: Label=POSITIVE, Score=0.9186
Item 818: Label=POSITIVE, Score=0.9343
Item 819: Label=POSITIVE, Score=0.9294
Item 820: Label=POSITIVE, Score=0.9324
Item 821: Label=POSITIVE, Score=0.9944
Item 822: Label=POSITIVE, Score=0.9829
Item 823: Label=POSITIVE, Score=0.9784
Item 824: Label=POSITIVE, Score=0.9747
Item 825: Label=POSITIVE, Score=0.9640
Item 826: Label=POSITIVE, Score=0.9748
Item 827: Label=POSITIVE, Score=0.9605
Item 828: Label=POSITIVE, Score=0.9595
Item 829: Label=POSITIVE, Score=0.9570
Item 830: Label=POSITIVE, Score=0.9550
Item 831: Label=POSITIVE, Score=0.9857
Item 832: Label=POSITIVE, Score=0.9824
Item 833: Label=POSITIVE, Score=0.9794
Item 834: Label=POSITIVE, Score=0.9755
Item 835: Label=POSITIVE, Score=0.9667
Item 836: Label=POSITIVE, Score=0.9757
Item 837: Label=POSITIVE, Score=0.9610
Item 838: Label=POSITIVE, Score=0.9640
Item 839: Label=POSITIVE, Score=0.9636
Item 840: Label=POSITIVE, Score=0.9635
Item 841: Label=POSITIVE, Score=0.9955
Item 842: Label=POSITIVE, Score=0.9778
Item 843: Label=POSITIVE, Score=0.9722
Item 844: Label=POSITIVE, Score=0.9701
Item 845: Label=POSITIVE, Score=0.9630
Item 846: Label=POSITIVE, Score=0.9724
Item 847: Label=POSITIVE, Score=0.9552
Item 848: Label=POSITIVE, Score=0.9539
Item 849: Label=POSITIVE, Score=0.9576
Item 850: Label=POSITIVE, Score=0.9560
Item 851: Label=POSITIVE, Score=0.9968
Item 852: Label=POSITIVE, Score=0.9672
Item 853: Label=POSITIVE, Score=0.9654
Item 854: Label=POSITIVE, Score=0.9654
Item 855: Label=POSITIVE, Score=0.9557
Item 856: Label=POSITIVE, Score=0.9696
Item 857: Label=POSITIVE, Score=0.9448
Item 858: Label=POSITIVE, Score=0.9418
Item 859: Label=POSITIVE, Score=0.9481
Item 860: Label=POSITIVE, Score=0.9445
Item 861: Label=POSITIVE, Score=0.9765
Item 862: Label=POSITIVE, Score=0.9744
Item 863: Label=POSITIVE, Score=0.9715
Item 864: Label=POSITIVE, Score=0.9699
Item 865: Label=POSITIVE, Score=0.9609
Item 866: Label=POSITIVE, Score=0.9710
Item 867: Label=POSITIVE, Score=0.9559
Item 868: Label=POSITIVE, Score=0.9530
Item 869: Label=POSITIVE, Score=0.9551
Item 870: Label=POSITIVE, Score=0.9570
Item 871: Label=POSITIVE, Score=0.9932
Item 872: Label=POSITIVE, Score=0.9656
Item 873: Label=POSITIVE, Score=0.9684
Item 874: Label=POSITIVE, Score=0.9739
Item 875: Label=POSITIVE, Score=0.9612
Item 876: Label=POSITIVE, Score=0.9974
Item 877: Label=POSITIVE, Score=0.9603
Item 878: Label=POSITIVE, Score=0.9536
Item 879: Label=POSITIVE, Score=0.9603
Item 880: Label=POSITIVE, Score=0.9617
Item 881: Label=POSITIVE, Score=0.9938
Item 882: Label=POSITIVE, Score=0.9750
Item 883: Label=POSITIVE, Score=0.9763
Item 884: Label=POSITIVE, Score=0.9773
Item 885: Label=POSITIVE, Score=0.9696
Item 886: Label=POSITIVE, Score=0.9669
Item 887: Label=POSITIVE, Score=0.9699
Item 888: Label=POSITIVE, Score=0.9663
Item 889: Label=POSITIVE, Score=0.9683
Item 890: Label=POSITIVE, Score=0.9681
Item 891: Label=POSITIVE, Score=0.9764
Item 892: Label=POSITIVE, Score=0.9774
Item 893: Label=POSITIVE, Score=0.9762
Item 894: Label=POSITIVE, Score=0.9770
Item 895: Label=POSITIVE, Score=0.9710
Item 896: Label=POSITIVE, Score=0.9727
Item 897: Label=POSITIVE, Score=0.9648
Item 898: Label=POSITIVE, Score=0.9664
Item 899: Label=POSITIVE, Score=0.9673
Item 900: Label=POSITIVE, Score=0.9720
Item 901: Label=POSITIVE, Score=0.9971
Item 902: Label=POSITIVE, Score=0.9795
Item 903: Label=POSITIVE, Score=0.9759
Item 904: Label=POSITIVE, Score=0.9772
Item 905: Label=POSITIVE, Score=0.9733
Item 906: Label=POSITIVE, Score=0.9768
Item 907: Label=POSITIVE, Score=0.9650
Item 908: Label=POSITIVE, Score=0.9641
Item 909: Label=POSITIVE, Score=0.9610
Item 910: Label=POSITIVE, Score=0.9621
Item 911: Label=POSITIVE, Score=0.9873
Item 912: Label=POSITIVE, Score=0.9181
Item 913: Label=POSITIVE, Score=0.9629
Item 914: Label=POSITIVE, Score=0.9633
Item 915: Label=POSITIVE, Score=0.9515
Item 916: Label=POSITIVE, Score=0.9570
Item 917: Label=POSITIVE, Score=0.9379
Item 918: Label=POSITIVE, Score=0.9301
Item 919: Label=POSITIVE, Score=0.9278
Item 920: Label=POSITIVE, Score=0.9315
Item 921: Label=POSITIVE, Score=0.9873
Item 922: Label=POSITIVE, Score=0.9864
Item 923: Label=POSITIVE, Score=0.9837
Item 924: Label=POSITIVE, Score=0.9806
Item 925: Label=POSITIVE, Score=0.9787
Item 926: Label=POSITIVE, Score=0.9799
Item 927: Label=POSITIVE, Score=0.9754
Item 928: Label=POSITIVE, Score=0.9752
Item 929: Label=POSITIVE, Score=0.9715
Item 930: Label=POSITIVE, Score=0.9749
Item 931: Label=POSITIVE, Score=0.9926
Item 932: Label=POSITIVE, Score=0.9800
Item 933: Label=POSITIVE, Score=0.9754
Item 934: Label=POSITIVE, Score=0.9742
Item 935: Label=POSITIVE, Score=0.9717
Item 936: Label=POSITIVE, Score=0.9697
Item 937: Label=POSITIVE, Score=0.9634
Item 938: Label=POSITIVE, Score=0.9715
Item 939: Label=POSITIVE, Score=0.9655
Item 940: Label=POSITIVE, Score=0.9701
Item 941: Label=POSITIVE, Score=0.9849
Item 942: Label=POSITIVE, Score=0.9831
Item 943: Label=POSITIVE, Score=0.9787
Item 944: Label=POSITIVE, Score=0.9766
Item 945: Label=POSITIVE, Score=0.9763
Item 946: Label=POSITIVE, Score=0.9721
Item 947: Label=POSITIVE, Score=0.9653
Item 948: Label=POSITIVE, Score=0.9728
Item 949: Label=POSITIVE, Score=0.9633
Item 950: Label=POSITIVE, Score=0.9708
Item 951: Label=POSITIVE, Score=0.9977
Item 952: Label=POSITIVE, Score=0.9874
Item 953: Label=POSITIVE, Score=0.9794
Item 954: Label=POSITIVE, Score=0.9832
Item 955: Label=POSITIVE, Score=0.9813
Item 956: Label=POSITIVE, Score=0.9814
Item 957: Label=POSITIVE, Score=0.9796
Item 958: Label=POSITIVE, Score=0.9795
Item 959: Label=POSITIVE, Score=0.9782
Item 960: Label=POSITIVE, Score=0.9798
Item 961: Label=POSITIVE, Score=0.9926
Item 962: Label=POSITIVE, Score=0.9855
Item 963: Label=POSITIVE, Score=0.9794
Item 964: Label=POSITIVE, Score=0.9779
Item 965: Label=POSITIVE, Score=0.9761
Item 966: Label=POSITIVE, Score=0.9796
Item 967: Label=POSITIVE, Score=0.9751
Item 968: Label=POSITIVE, Score=0.9750
Item 969: Label=POSITIVE, Score=0.9709
Item 970: Label=POSITIVE, Score=0.9729
Item 971: Label=POSITIVE, Score=0.9883
Item 972: Label=POSITIVE, Score=0.9816
Item 973: Label=POSITIVE, Score=0.9758
Item 974: Label=POSITIVE, Score=0.9777
Item 975: Label=POSITIVE, Score=0.9757
Item 976: Label=POSITIVE, Score=0.9734
Item 977: Label=POSITIVE, Score=0.9716
Item 978: Label=POSITIVE, Score=0.9715
Item 979: Label=POSITIVE, Score=0.9946
Item 980: Label=POSITIVE, Score=0.9711
Item 981: Label=POSITIVE, Score=0.9947
Item 982: Label=POSITIVE, Score=0.9954
Item 983: Label=POSITIVE, Score=0.9925
Item 984: Label=POSITIVE, Score=0.9919
Item 985: Label=POSITIVE, Score=0.9935
Item 986: Label=POSITIVE, Score=0.9921
Item 987: Label=POSITIVE, Score=0.9934
Item 988: Label=POSITIVE, Score=0.9923
Item 989: Label=POSITIVE, Score=0.9920
Item 990: Label=POSITIVE, Score=0.9896
Item 991: Label=POSITIVE, Score=0.9988
Item 992: Label=POSITIVE, Score=0.9979
Item 993: Label=POSITIVE, Score=0.9968
Item 994: Label=POSITIVE, Score=0.9971
Item 995: Label=POSITIVE, Score=0.9967
Item 996: Label=POSITIVE, Score=0.9966
Item 997: Label=POSITIVE, Score=0.9972
Item 998: Label=POSITIVE, Score=0.9975
Item 999: Label=POSITIVE, Score=0.9970
Item 1000: Label=POSITIVE, Score=0.9946
